Year,Month,Day,Mark,Gold
1918,January,,10,8
1918,February,,10,8
1918,March,,10,8
1918,April,,10,8
1918,May,,10,8
1918,June,,10,8
1918,July,,10,7.14
1918,August,,10,6.9
1918,September,,10,6.45
1918,October,,10,6.45
1918,November,,10,5.71
1918,December,,10,5
1919,January,,10,5.13
1919,February,,10,4.65
1919,March,,10,4
1919,April,,10,3.41
1919,May,,10,3.32
1919,June,,10,3.11
1919,July,,10,2.86
1919,August,,10,2.29
1919,September,,10,1.88
1919,October,,10,1.66
1919,November,,10,1.26
1919,December,,10,1.04
1920,January,1-10,100,9.67
1920,January,11-20,100,7.75
1920,January,21-31,100,5.76
1920,February,1-10,100,4.9
1920,February,11-20,100,5.06
1920,February,21-29,100,4.86
1920,March,1-10,100,4.87
1920,March,11-20,100,6.12
1920,March,21-31,100,5.79
1920,April,1-10,100,7
1920,April,11-20,100,6.99
1920,April,21-30,100,7.1
1920,May,1-10,100,7.86
1920,May,11-20,100,8.79
1920,May,21-31,100,11.01
1920,June,1-10,100,10.32
1920,June,11-20,100,10.64
1920,June,21-31,100,11.19
1920,July,1-10,100,11.1
1920,July,11-20,100,10.91
1920,July,21-31,100,10.05
1920,August,1-10,100,9.23
1920,August,11-20,100,8.83
1920,August,21-31,100,8.4
1920,September,1-10,100,8.24
1920,September,11-20,100,6.8
1920,September,21-30,100,6.8
1920,October,1-10,100,6.87
1920,October,11-20,100,6.39
1920,October,21-31,100,6.22
1920,November,1-10,100,5.57
1920,November,11-20,100,5.83
1920,November,21-30,100,6.65
1920,December,1-10,100,6.38
1920,December,11-20,100,6.27
1920,December,21-31,100,6.2
1921,January,1-10,100,6.05
1921,January,11-20,100,6.62
1921,January,21-31,100,7.41
1921,February,1-10,100,6.9
1921,February,11-20,100,7.26
1921,February,21-28,100,7.01
1921,March,1-10,100,7.01
1921,March,11-20,100,7.09
1921,March,21-31,100,7.12
1921,April,1-10,100,7.24
1921,April,11-20,100,7.15
1921,April,21-30,100,6.77
1921,May,1-10,100,6.77
1921,May,11-20,100,7.42
1921,May,21-31,100,7.32
1921,June,1-10,100,6.88
1921,June,11-20,100,6.61
1921,June,21-30,100,6.39
1921,July,1-10,100,6.34
1921,July,11-20,100,6.25
1921,July,21-31,100,5.88
1921,August,1-10,100,5.32
1921,August,11-20,100,4.96
1921,August,21-31,100,5.01
1921,September,1-10,100,4.82
1921,September,11-20,100,4.31
1921,September,21-30,100,4.07
1921,October,1-10,100,3.88
1921,October,11-20,100,3.23
1921,October,21-31,100,2.98
1921,November,1-10,100,2.24
1921,November,11-20,100,2.06
1921,November,21-30,100,1.92
1921,December,1-10,100,2.37
1921,December,11-20,100,2.56
1921,December,21-31,100,2.55
1922,January,1-10,100,2.52
1922,January,11-20,100,2.5
1922,January,21-31,100,2.28
1922,February,1-10,100,2.3
1922,February,11-20,100,2.24
1922,February,21-28,100,2.08
1922,March,1-10,100,1.86
1922,March,11-20,100,1.7
1922,March,21-31,100,1.43
1922,April,1-10,100,1.43
1922,April,11-20,100,1.5
1922,April,21-30,100,1.59
1922,May,1-10,100,1.5
1922,May,11-20,100,1.49
1922,May,21-31,100,1.51
1922,June,1-10,100,1.52
1922,June,11-20,100,1.37
1922,June,21-30,100,1.26
1922,July,1-10,1000,9.5
1922,July,11-20,1000,9.7
1922,July,21-31,1000,8.46
1922,August,1-10,1000,6.06
1922,August,11-20,1000,4.88
1922,August,21-31,1000,3.16
1922,September,1-10,1000,3.33
1922,September,11-20,1000,3.09
1922,September,21-30,1000,3.05
1922,October,1-10,1000,2.13
1922,October,11-20,1000,1.65
1922,October,21-31,1000,1.11
1922,November,1-10,10000,7.6
1922,November,11-20,10000,6.79
1922,November,21-30,10000,6.62
1922,December,1-10,10000,5.8
1922,December,11-20,10000,6.18
1922,December,21-31,10000,6.34
1923,January,1-10,10000,4.94
1923,January,11-20,10000,3.22
1923,January,21-31,10000,1.87
1923,February,1-10,10000,1.35
1923,February,11-20,10000,1.87
1923,February,21-28,10000,1.86
1923,March,1-10,10000,1.95
1923,March,11-20,10000,2.06
1923,March,21-31,10000,2.04
1923,April,1-10,10000,2.02
1923,April,11-20,10000,1.92
1923,April,21-30,10000,1.57
1923,May,1-10,10000,1.29
1923,May,11-20,10000,1.09
1923,May,21-31,100000,8.4
1923,June,1,100000,6.47
1923,June,2,100000,6.82
1923,June,4,100000,6.83
1923,June,5,100000,6.71
1923,June,6,100000,6.3
1923,June,7,100000,6.17
1923,June,8,100000,6.18
1923,June,9,100000,6.09
1923,June,11,100000,5.79
1923,June,12,100000,5.29
1923,June,13,100000,4.94
1923,June,14,100000,4.73
1923,June,15,100000,4.26
1923,June,16,100000,3.86
1923,June,18,100000,3.66
1923,June,19,100000,3.8
1923,June,20,100000,3.79
1923,June,21,100000,3.82
1923,June,22,100000,3.89
1923,June,23,100000,3.94
1923,June,25,100000,3.58
1923,June,26,100000,3.26
1923,June,27,100000,3.03
1923,June,28,100000,3
1923,June,29,100000,2.92
1923,June,30,100000,2.87
1923,July,2,100000,2.73
1923,July,3,100000,2.68
1923,July,4,100000,2.54
1923,July,5,100000,2.43
1923,July,6,100000,2.37
1923,July,7,100000,2.32
1923,July,9,100000,2.28
1923,July,10,100000,2.25
1923,July,11,100000,2.25
1923,July,12,100000,2.21
1923,July,13,100000,2.1
1923,July,16,100000,1.99
1923,July,17,100000,1.75
1923,July,19,100000,1.52
1923,July,20,100000,1.33
1923,July,23,1000000,9.83
1923,July,24,1000000,8.39
1923,July,26,1000000,6.01
1923,July,27,1000000,5.16
1923,July,30,1000000,4.49
1923,July,31,1000000,4.37
1923,August,1,1000000,3.98
1923,August,3,1000000,2.63
1923,August,6,1000000,1.68
1923,August,7,1000000,1.32
1923,August,8,1000000,1.18
1923,August,9,1000000,1.2
1923,August,10,1000000,1.33
1923,August,13,1000000,1.42
1923,August,14,1000000,1.5
1923,August,15,1000000,1.47
1923,August,16,1000000,1.25
1923,August,17,10000000,9.81
1923,August,20,10000000,8.44
1923,August,21,10000000,7.98
1923,August,22,10000000,8.51
1923,August,23,10000000,8.46
1923,August,24,10000000,7.9
1923,August,27,10000000,6.86
1923,August,28,10000000,5.45
1923,August,29,10000000,4.86
1923,August,30,10000000,4.67
1923,August,31,10000000,4.53
1923,September,3,10000000,3.62
1923,September,4,10000000,2.42
1923,September,5,10000000,1.51
1923,September,6,10000000,1.17
1923,September,7,100000000,9.43
1923,September,10,100000000,7.52
1923,September,11,100000000,6.29
1923,September,12,100000000,5.52
1923,September,13,100000000,4.7
1923,September,14,100000000,3.84
1923,September,17,100000000,2.97
1923,September,18,100000000,2.59
1923,September,19,100000000,2.73
1923,September,20,100000000,2.87
1923,September,21,100000000,3.33
1923,September,24,100000000,3.2
1923,September,25,100000000,3.23
1923,September,26,100000000,2.94
1923,September,27,100000000,2.31
1923,September,28,100000000,1.78
1923,October,1,100000000,1.35
1923,October,2,100000000,1.07
1923,October,3,1000000000,9.21
1923,October,4,1000000000,7.71
1923,October,5,1000000000,6.1
1923,October,8,1000000000,3.38
1923,October,9,1000000000,1.93
1923,October,10,1000000000,1.41
1923,October,11,1000000000,1.27
1923,October,12,1000000000,1.31
1923,October,15,1000000000,1.12
1923,October,16,10000000000,8.06
1923,October,17,10000000000,5.44
1923,October,18,10000000000,2.26
1923,October,19,10000000000,1.23
1923,October,22,100000000000,8.18
1923,October,23,100000000000,7.02
1923,October,23,100000000000,6.65
1923,October,25,100000000000,6.65
1923,October,26,100000000000,6.72
1923,October,27,100000000000,6.79
1923,October,29,100000000000,6.6
1923,October,30,100000000000,5.05
1923,October,31,100000000000,2.57
1923,November,1,100000000000,1.53
1923,November,2,100000000000,1.14
1923,November,3,100000000000,1.04
1923,November,5,1000000000000,8.85
1923,November,6,1000000000000,7.69
1923,November,7,1000000000000,6.97
1923,November,8,1000000000000,7.12
1923,November,9,1000000000000,7.28
1923,November,10,1000000000000,6.7
1923,November,12,1000000000000,5.27
1923,November,13,1000000000000,3.19
1923,November,14,1000000000000,2.19
1923,November,15,1000000000000,1.72
1923,November,16,1000000000000,1.67
1923,November,17,1000000000000,1.36
1923,November,19,1000000000000,1.15
1923,November,20,1000000000000,1
1923,November,21,1000000000000,1
1923,November,22,1000000000000,1
1923,November,23,1000000000000,1
1923,November,24,1000000000000,1
1923,November,26,1000000000000,1
1923,November,27,1000000000000,1
1923,November,28,1000000000000,1
1923,November,29,1000000000000,1
1923,November,30,1000000000000,1